name,region,year,income,population,lifeExpectancy
Angola,Sub-Saharan Africa,1990,2777.42,8290856.0,41.99
Angola,Sub-Saharan Africa,1991,2730.85,8490763.0,42.16
Angola,Sub-Saharan Africa,1992,2627.85,8735988.0,42.32
Angola,Sub-Saharan Africa,1993,1869.92,8961438.0,42.46
Angola,Sub-Saharan Africa,1994,1851.45,9170032.0,42.59
Angola,Sub-Saharan Africa,1995,1989.02,9421477.0,42.7
Angola,Sub-Saharan Africa,1996,2157.35,9660081.0,42.82
Angola,Sub-Saharan Africa,1997,2277.14,9875024.0,42.96
Angola,Sub-Saharan Africa,1998,2384.48,10071442.0,43.12
Angola,Sub-Saharan Africa,1999,2417.18,10263229.0,43.32
Angola,Sub-Saharan Africa,2000,2446.65,10442812.0,43.56
Angola,Sub-Saharan Africa,2001,2479.69,10623424.0,43.86
Angola,Sub-Saharan Africa,2002,2773.29,10866106.0,44.22
Angola,Sub-Saharan Africa,2003,2785.39,11186202.0,44.61
Angola,Sub-Saharan Africa,2004,3007.11,11521432.0,45.05
Angola,Sub-Saharan Africa,2005,3533.0,11827315.0,45.52
Angola,Sub-Saharan Africa,2006,4069.56,12127071.0,46.02
Angola,Sub-Saharan Africa,2007,4755.46,12420476.0,46.54
Angola,Sub-Saharan Africa,2008,5228.74,12707546.0,47.06
Benin,Sub-Saharan Africa,1990,1165.47,4676077.0,53.84
Benin,Sub-Saharan Africa,1991,1181.65,4828814.0,54.34
Benin,Sub-Saharan Africa,1992,1191.21,4981671.0,54.86
Benin,Sub-Saharan Africa,1993,1177.91,5214220.0,55.38
Benin,Sub-Saharan Africa,1994,1168.53,5487359.0,55.89
Benin,Sub-Saharan Africa,1995,1176.67,5700089.0,56.38
Benin,Sub-Saharan Africa,1996,1202.15,5886094.0,56.84
Benin,Sub-Saharan Africa,1997,1232.98,6066080.0,57.26
Benin,Sub-Saharan Africa,1998,1251.88,6248686.0,57.64
Benin,Sub-Saharan Africa,1999,1272.8,6435871.0,58.0
Benin,Sub-Saharan Africa,2000,1307.57,6627964.0,58.34
Benin,Sub-Saharan Africa,2001,1333.3,6824931.0,58.68
Benin,Sub-Saharan Africa,2002,1372.88,7026113.0,59.02
Benin,Sub-Saharan Africa,2003,1386.05,7230693.0,59.38
Benin,Sub-Saharan Africa,2004,1389.13,7438437.0,59.77
Benin,Sub-Saharan Africa,2005,1390.0,7649360.0,60.17
Benin,Sub-Saharan Africa,2006,1402.94,7862944.0,60.6
Benin,Sub-Saharan Africa,2007,1428.15,8078314.0,61.03
Benin,Sub-Saharan Africa,2008,1459.07,8294941.0,61.47
Botswana,Sub-Saharan Africa,1990,7829.23,1263643.0,64.24
Botswana,Sub-Saharan Africa,1991,7964.58,1301796.0,63.97
Botswana,Sub-Saharan Africa,1992,7954.11,1342614.0,63.38
Botswana,Sub-Saharan Africa,1993,7860.65,1385749.0,62.47
Botswana,Sub-Saharan Africa,1994,7898.05,1427426.0,61.26
Botswana,Sub-Saharan Africa,1995,8030.48,1466989.0,59.76
Botswana,Sub-Saharan Africa,1996,8281.92,1503652.0,57.98
Botswana,Sub-Saharan Africa,1997,8647.14,1536536.0,56.05
Botswana,Sub-Saharan Africa,1998,8990.98,1564950.0,54.08
Botswana,Sub-Saharan Africa,1999,9416.67,1588505.0,52.21
Botswana,Sub-Saharan Africa,2000,10107.99,1607069.0,50.65
Botswana,Sub-Saharan Africa,2001,10543.61,1620848.0,49.59
Botswana,Sub-Saharan Africa,2002,11003.61,1630347.0,49.11
Botswana,Sub-Saharan Africa,2003,11391.09,1636213.0,49.22
Botswana,Sub-Saharan Africa,2004,11722.59,1639231.0,49.87
Botswana,Sub-Saharan Africa,2005,12057.0,1640115.0,50.92
Botswana,Sub-Saharan Africa,2006,12574.18,1639833.0,52.17
Botswana,Sub-Saharan Africa,2007,13010.7,1639131.0,53.39
Botswana,Sub-Saharan Africa,2008,13240.06,1638393.0,54.4
Burkina Faso,Sub-Saharan Africa,1990,880.17,8335771.0,47.42
Burkina Faso,Sub-Saharan Africa,1991,938.09,8603238.0,47.65
Burkina Faso,Sub-Saharan Africa,1992,931.75,8878303.0,47.89
Burkina Faso,Sub-Saharan Africa,1993,895.91,9159653.0,48.14
Burkina Faso,Sub-Saharan Africa,1994,878.97,9467871.0,48.41
Burkina Faso,Sub-Saharan Africa,1995,889.91,9772602.0,48.7
Burkina Faso,Sub-Saharan Africa,1996,929.21,10060724.0,49.01
Burkina Faso,Sub-Saharan Africa,1997,946.29,10352843.0,49.34
Burkina Faso,Sub-Saharan Africa,1998,978.6,10652495.0,49.68
Burkina Faso,Sub-Saharan Africa,1999,1009.59,10975109.0,50.02
Burkina Faso,Sub-Saharan Africa,2000,1001.48,11308552.0,50.37
Burkina Faso,Sub-Saharan Africa,2001,1029.97,11732326.0,50.72
Burkina Faso,Sub-Saharan Africa,2002,1037.65,12251209.0,51.07
Burkina Faso,Sub-Saharan Africa,2003,1080.53,12705775.0,51.42
Burkina Faso,Sub-Saharan Africa,2004,1096.85,13092647.0,51.76
Burkina Faso,Sub-Saharan Africa,2005,1140.0,13491736.0,52.09
Burkina Faso,Sub-Saharan Africa,2006,1175.51,13902972.0,52.42
Burkina Faso,Sub-Saharan Africa,2007,1189.88,14326203.0,52.74
Burkina Faso,Sub-Saharan Africa,2008,1223.52,14761339.0,53.06
Burundi,Sub-Saharan Africa,1990,630.44,5505113.0,46.36
Burundi,Sub-Saharan Africa,1991,646.51,5636676.0,45.76
Burundi,Sub-Saharan Africa,1992,631.7,5809236.0,45.27
Burundi,Sub-Saharan Africa,1993,613.04,5632915.0,44.96
Burundi,Sub-Saharan Africa,1994,585.18,5681513.0,44.85
Burundi,Sub-Saharan Africa,1995,507.2,6077812.0,44.95
Burundi,Sub-Saharan Africa,1996,462.85,6100754.0,45.23
Burundi,Sub-Saharan Africa,1997,463.12,6121610.0,45.61
Burundi,Sub-Saharan Africa,1998,473.7,6271409.0,46.03
Burundi,Sub-Saharan Africa,1999,455.41,6458283.0,46.47
Burundi,Sub-Saharan Africa,2000,443.76,6621126.0,46.9
Burundi,Sub-Saharan Africa,2001,440.51,6810307.0,47.33
Burundi,Sub-Saharan Africa,2002,446.4,7021078.0,47.77
Burundi,Sub-Saharan Africa,2003,427.14,7251827.0,48.22
Burundi,Sub-Saharan Africa,2004,431.76,7516212.0,48.69
Burundi,Sub-Saharan Africa,2005,420.08,7795426.0,49.15
Burundi,Sub-Saharan Africa,2006,432.95,8090068.0,49.61
Burundi,Sub-Saharan Africa,2007,439.64,8390505.0,50.06
Burundi,Sub-Saharan Africa,2008,450.54,8691005.0,50.51
Cameroon,Sub-Saharan Africa,1990,2036.08,11778594.0,55.08
Cameroon,Sub-Saharan Africa,1991,1903.16,12122404.0,54.91
Cameroon,Sub-Saharan Africa,1992,1793.16,12467171.0,54.66
Cameroon,Sub-Saharan Africa,1993,1688.77,12814205.0,54.34
Cameroon,Sub-Saharan Africa,1994,1603.04,13161203.0,53.98
Cameroon,Sub-Saharan Africa,1995,1613.97,13504356.0,53.59
Cameroon,Sub-Saharan Africa,1996,1652.43,13848792.0,53.18
Cameroon,Sub-Saharan Africa,1997,1694.34,14195809.0,52.75
Cameroon,Sub-Saharan Africa,1998,1736.44,14543246.0,52.31
Cameroon,Sub-Saharan Africa,1999,1770.65,14889962.0,51.9
Cameroon,Sub-Saharan Africa,2000,1803.44,15233673.0,51.52
Cameroon,Sub-Saharan Africa,2001,1857.15,15577246.0,51.19
Cameroon,Sub-Saharan Africa,2002,1934.01,15929988.0,50.93
Cameroon,Sub-Saharan Africa,2003,1967.39,16286408.0,50.74
Cameroon,Sub-Saharan Africa,2004,1997.11,16637276.0,50.64
Cameroon,Sub-Saharan Africa,2005,1995.0,16988132.0,50.62
Cameroon,Sub-Saharan Africa,2006,2003.19,17340702.0,50.7
Cameroon,Sub-Saharan Africa,2007,2012.18,17696293.0,50.87
Cameroon,Sub-Saharan Africa,2008,2013.83,18054929.0,51.1
Cape Verde,Sub-Saharan Africa,1990,1587.89,349264.0,65.93
Cape Verde,Sub-Saharan Africa,1993,1524.74,367520.0,66.97
Cape Verde,Sub-Saharan Africa,1994,1600.25,373163.0,67.28
Cape Verde,Sub-Saharan Africa,1995,1700.27,378520.0,67.57
Cape Verde,Sub-Saharan Africa,1996,1788.78,383584.0,67.84
Cape Verde,Sub-Saharan Africa,1997,1902.83,388383.0,68.12
Cape Verde,Sub-Saharan Africa,1998,2018.62,392941.0,68.4
Cape Verde,Sub-Saharan Africa,1999,2168.69,397270.0,68.68
Cape Verde,Sub-Saharan Africa,2000,2291.29,401343.0,68.98
Cape Verde,Sub-Saharan Africa,2001,2406.57,405163.0,69.28
Cape Verde,Sub-Saharan Africa,2002,2505.29,408760.0,69.59
Cape Verde,Sub-Saharan Africa,2003,2600.55,412137.0,69.9
Cape Verde,Sub-Saharan Africa,2004,2692.59,415294.0,70.21
Cape Verde,Sub-Saharan Africa,2005,2831.0,418224.0,70.52
Cape Verde,Sub-Saharan Africa,2006,3078.92,420979.0,70.82
Cape Verde,Sub-Saharan Africa,2007,3274.76,423613.0,71.11
Cape Verde,Sub-Saharan Africa,2008,3384.72,426113.0,71.4
Chad,Sub-Saharan Africa,1990,999.11,6022856.0,51.21
Chad,Sub-Saharan Africa,1991,1065.94,6232340.0,51.2
Chad,Sub-Saharan Africa,1992,1058.06,6429417.0,51.14
Chad,Sub-Saharan Africa,1993,1003.69,6655731.0,51.03
Chad,Sub-Saharan Africa,1994,1023.26,6886696.0,50.88
Chad,Sub-Saharan Africa,1995,995.98,7103883.0,50.68
Chad,Sub-Saharan Africa,1996,995.1,7329462.0,50.45
Chad,Sub-Saharan Africa,1997,1004.96,7562011.0,50.18
Chad,Sub-Saharan Africa,1998,1048.81,7804481.0,49.89
Chad,Sub-Saharan Africa,1999,1039.29,8058514.0,49.59
Chad,Sub-Saharan Africa,2000,1017.03,8316481.0,49.3
Chad,Sub-Saharan Africa,2001,1084.2,8573507.0,49.03
Chad,Sub-Saharan Africa,2002,1156.18,8835739.0,48.81
Chad,Sub-Saharan Africa,2003,1287.08,9103618.0,48.63
