edad,Average of ap_hi,Average of ap_lo
30,112.5,72.5
39,119.0293399,88.22982885
40,119.7896296,85.85888889
41,121.4908616,90.34464752
42,120.163872,89.88795732
43,141.2942029,93.3884058
44,122.9450123,93.0518153
45,123.4174373,93.1677675
46,128.7830795,89.5465313
47,125.0490716,93.52387268
48,130.0698184,92.02160301
49,125.3758263,92.04532578
50,127.3848491,97.01594836
51,134.1320475,96.99109792
52,126.6326608,100.9839713
53,125.5813788,100.2999289
54,130.2152639,97.36940548
55,127.3271028,94.86648865
56,128.5728735,98.82706019
57,130.5027548,102.4028926
58,130.6920379,100.2792003
59,139.5409594,103.904797
60,130.3121683,95.86038426
61,130.2661753,97.8992629
62,132.04865,97.92435048
63,131.5285433,98.67125984
64,136.5326531,102.5196429
65,128.9545455,98.23011364
